Job Title,Company Name,Job Qualifications,URL,Type,Work Hours,Kota,Georeferenced,Longitude,Latitude
Core Data Architect,AIA Indonesia,"Azure Data Factory, Azure Data Lake, Azure Databricks, Big Data, Data Architecture, Data Warehouse Architecture, ETL Tools, Extract, Transform, Load (ETL), and Microsoft Azure",https://www.linkedin.com/jobs/search/?currentJobId=4001665019&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=150,On-Site,Full-Time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
Machine Learning Engineer  LLM,YO HR Consultancy,,https://www.linkedin.com/jobs/search/?currentJobId=4008149709&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=150,Remote,Contract,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
Principal Data Engineer and Analytics,Kredivo Group,,https://www.linkedin.com/jobs/search/?currentJobId=4004128616&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=150,Hybrid,Full-Time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
Machine Learning Engineer,PT. EIKON Technology,,https://www.linkedin.com/jobs/search/?currentJobId=3958921542&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=150,On-Site,Full-Time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
Data/Platform Network Engineer,Wolkk.,"Amazon Web Services (AWS), Bash, Google Cloud Platform (GCP), Linux, Microsoft Azure, and Python (Programming Language)",https://www.linkedin.com/jobs/search/?currentJobId=4015197004&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=150,Remote,Contract,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
Full Stack Engineer,Crossover,,https://www.linkedin.com/jobs/search/?currentJobId=4017081634&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=150,Remote,Full-Time,Yogyakarta,POINT (110.36450235280027 -7.800954474217425),110.36450235280027,-7.800954474217425
Data Scientist,Nikel,,https://www.linkedin.com/jobs/search/?currentJobId=3999416283&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=150,On-Site,Full-Time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
Python Data Scientist/Analyst  LLM Project,YO HR Consultancy,,https://www.linkedin.com/jobs/search/?currentJobId=3949893368&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=150,Remote,Contract,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
Python Data Scientist/Analyst  LLM Project,YO HR Consultancy,,https://www.linkedin.com/jobs/search/?currentJobId=3949893368&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=150,Remote,Contract,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
Data Engineer,Aliz,,https://www.linkedin.com/jobs/search/?currentJobId=4008407794&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=150,Hybrid,Full-Time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
